"name","long","lat","year","date"
"Danaus plexippus","-86.531853","36.102906","2017","2017-04-07"
"Danaus plexippus","-94.287221","35.332102","2017","2017-04-12"
"Danaus plexippus","-117.816658","33.993571","2017","2017-04-08"
"Danaus plexippus","-95.64042","36.316295","2017","2017-04-04"
"Danaus plexippus","-97.281417","32.885071","2017","2017-04-03"
"Danaus plexippus","-97.573053","31.791155","2017","2017-04-05"
"Danaus plexippus","-118.293743","33.874035","2017","2017-04-09"
"Danaus plexippus","-97.399588","27.792148","2017","2017-04-03"
"Danaus plexippus","-97.293043","35.22207","2017","2017-04-09"
"Danaus plexippus","-95.65303","36.293758","2017","2017-04-11"
"Danaus plexippus","-96.974607","33.065615","2017","2017-04-04"
"Danaus plexippus","-118.053764","33.776042","2017","2017-04-05"
"Danaus plexippus","-97.28039","32.883814","2017","2017-04-05"
"Danaus plexippus","-88.109817","32.677222","2017","2017-04-01"
"Danaus plexippus","-96.963401","33.067695","2017","2017-04-12"
"Danaus plexippus","-97.76144","32.830602","2017","2017-04-06"
"Danaus plexippus","-82.352221","28.629707","2017","2017-04-11"
"Danaus plexippus","-97.280386","32.883926","2017","2017-04-05"
"Danaus plexippus","-92.287621","30.803698","2017","2017-04-02"
"Danaus plexippus","-96.904113","32.726922","2017","2017-04-01"
"Danaus plexippus","-96.964632","33.06409","2017","2017-04-01"
"Danaus plexippus","-97.57525","30.737038","2017","2017-04-01"
"Danaus plexippus","-95.419722","29.0425","2017","2017-04-12"
"Danaus plexippus","-106.868662","33.801088","2017","2017-04-03"
"Danaus plexippus","-96.311172","35.427095","2017","2017-04-09"
"Danaus plexippus","-118.303895","33.875125","2017","2017-04-09"
"Danaus plexippus","-117.852671","34.133365","2017","2017-04-03"
"Danaus plexippus","-122.30545","37.882686","2017","2017-04-13"
"Danaus plexippus","-94.288015","35.324945","2017","2017-04-09"
"Danaus plexippus","-82.352221","28.629707","2017","2017-04-11"
"Danaus plexippus","-80.235448","32.553139","2017","2017-04-06"
"Danaus plexippus","-118.257304","34.055321","2017","2017-04-11"
"Danaus plexippus","-95.667458","33.34993","2017","2017-04-13"
"Danaus plexippus","-95.893434","36.2212","2017","2017-04-03"
"Danaus plexippus","-97.015918","32.311748","2017","2017-04-07"
"Danaus plexippus","-98.205696","33.814203","2017","2017-04-05"
"Danaus plexippus","-93.316433","35.506884","2017","2017-04-09"
"Danaus plexippus","-118.342296","33.826229","2017","2017-04-06"
"Danaus plexippus","-118.878258","34.222078","2017","2017-04-04"
"Danaus plexippus","-97.10587","32.716205","2017","2017-04-07"
"Danaus plexippus","-94.553243","35.573092","2017","2017-04-13"
"Danaus plexippus","-118.21713","34.049253","2017","2017-04-10"
"Danaus plexippus","-98.178002","30.157855","2017","2017-04-02"
"Danaus plexippus","-96.854643","32.311552","2017","2017-04-06"
"Danaus plexippus","-88.930177","37.376292","2017","2017-04-12"
"Danaus plexippus","-93.947622","29.698352","2017","2017-04-04"
"Danaus plexippus","-96.988442","33.062582","2017","2017-04-09"
"Danaus plexippus","-118.288017","34.017964","2017","2017-04-07"
"Danaus plexippus","-94.286621","35.332737","2017","2017-04-03"
"Danaus plexippus","-97.32905","27.668567","2017","2017-04-01"
"Danaus plexippus","-118.20999","34.125954","2017","2017-04-01"
"Danaus plexippus","-98.390764","33.757046","2017","2017-04-06"
"Danaus plexippus","-118.342537","33.82814","2017","2017-04-06"
"Danaus plexippus","-95.905066","36.213463","2017","2017-04-11"
"Danaus plexippus","-96.960566","32.869265","2017","2017-04-06"
"Danaus plexippus","-96.997301","32.609939","2017","2017-04-07"
"Danaus plexippus","-118.074756","34.110678","2017","2017-04-13"
"Danaus plexippus","-97.058173","33.264529","2017","2017-04-06"
"Danaus plexippus","-94.286642","35.331562","2017","2017-04-11"
"Danaus plexippus","-96.734452","32.806749","2017","2017-04-12"
